datetime,T_air_C,PAR_umol,CO2_ppm,RH_percent,wind_speed_ms
2024-01-19 00:00:00,17.725,0.0,475.083,56.917,0.3
2024-01-19 01:00:00,17.9,0.0,473.75,57.0,0.3
2024-01-19 02:00:00,17.942,0.0,475.167,57.25,0.3
2024-01-19 03:00:00,17.942,0.0,476.583,57.083,0.3
2024-01-19 04:00:00,17.842,0.0,475.333,57.0,0.3
2024-01-19 05:00:00,17.8,0.0,475.0,57.417,0.3
2024-01-19 06:00:00,18.208,0.0,473.75,57.167,0.3
2024-01-19 07:00:00,18.3,0.0,468.0,58.333,0.3
2024-01-19 08:00:00,18.508,0.0,465.583,58.25,0.3
2024-01-19 09:00:00,18.592,0.0,461.333,61.25,0.3
2024-01-19 10:00:00,19.292,0.0,449.0,64.667,0.3
2024-01-19 11:00:00,20.85,0.0,442.667,65.167,0.3
2024-01-19 12:00:00,21.233,0.0,436.5,66.0,0.3
2024-01-19 13:00:00,21.5,0.0,434.167,66.0,0.3
2024-01-19 14:00:00,21.575,0.0,429.75,65.917,0.3
2024-01-19 15:00:00,21.333,0.0,430.833,65.417,0.3
2024-01-19 16:00:00,20.792,0.0,435.0,63.417,0.3
2024-01-19 17:00:00,20.642,0.0,442.0,62.083,0.3
2024-01-19 18:00:00,21.4,0.0,446.833,56.25,0.3
2024-01-19 19:00:00,20.225,0.0,450.917,56.5,0.3
2024-01-19 20:00:00,19.4,0.0,454.833,56.167,0.3
2024-01-19 21:00:00,17.775,0.0,461.083,52.917,0.3
2024-01-19 22:00:00,17.508,0.0,465.083,54.833,0.3
2024-01-19 23:00:00,17.508,0.0,465.0,55.0,0.3
2024-01-20 00:00:00,17.6,0.0,467.25,56.0,0.3
2024-01-20 01:00:00,17.642,0.0,468.417,56.333,0.3
2024-01-20 02:00:00,17.633,0.0,469.167,56.5,0.3
2024-01-20 03:00:00,17.542,0.0,470.75,56.333,0.3
2024-01-20 04:00:00,17.467,0.0,468.667,56.333,0.3
2024-01-20 05:00:00,17.425,0.0,468.25,56.083,0.3
2024-01-20 06:00:00,17.983,0.0,467.75,56.167,0.3
2024-01-20 07:00:00,18.225,0.0,462.667,57.083,0.3
2024-01-20 08:00:00,18.458,0.0,460.667,57.833,0.3
2024-01-20 09:00:00,18.667,0.0,455.917,60.167,0.3
2024-01-20 10:00:00,19.167,0.0,445.083,63.75,0.3
2024-01-20 11:00:00,20.433,0.0,432.833,64.333,0.3
2024-01-20 12:00:00,21.417,0.0,425.25,64.0,0.3
2024-01-20 13:00:00,21.108,0.0,425.917,64.0,0.3
2024-01-20 14:00:00,20.283,0.0,430.75,64.0,0.3
2024-01-20 15:00:00,19.508,0.0,431.333,63.167,0.3
2024-01-20 16:00:00,18.583,0.0,436.667,62.75,0.3
2024-01-20 17:00:00,19.0,0.0,441.5,60.25,0.3
2024-01-20 18:00:00,20.95,0.0,444.417,52.75,0.3
2024-01-20 19:00:00,19.983,0.0,448.75,53.25,0.3
2024-01-20 20:00:00,18.742,0.0,450.417,53.5,0.3
2024-01-20 21:00:00,17.283,0.0,456.5,52.417,0.3
2024-01-20 22:00:00,17.158,0.0,460.667,54.25,0.3
2024-01-20 23:00:00,17.092,0.0,461.75,54.75,0.3
2024-01-21 00:00:00,16.992,0.0,463.417,54.333,0.3
2024-01-21 01:00:00,16.842,0.0,463.583,54.0,0.3
2024-01-21 02:00:00,16.692,0.0,462.917,54.0,0.3
2024-01-21 03:00:00,16.558,0.0,463.667,54.25,0.3
2024-01-21 04:00:00,16.5,0.0,463.0,55.0,0.3
2024-01-21 05:00:00,16.558,0.0,463.417,55.0,0.3
2024-01-21 06:00:00,17.275,0.0,462.917,55.083,0.3
