datetime,T_air_C,PAR_umol,CO2_ppm,RH_percent,wind_speed_ms
2018-10-26 00:00:00,13.9,0.0,405.0,75.8,0.3
2018-10-26 01:00:00,13.9,0.0,409.0,77.3,0.3
2018-10-26 02:00:00,14.3,0.0,415.0,78.1,0.3
2018-10-26 03:00:00,13.6,0.0,407.0,84.2,0.3
2018-10-26 04:00:00,13.4,0.0,411.0,85.8,0.3
2018-10-26 05:00:00,13.6,0.0,412.0,86.0,0.3
2018-10-26 06:00:00,13.8,0.0,414.0,86.6,0.3
2018-10-26 07:00:00,13.8,0.0,423.0,87.3,0.3
2018-10-26 08:00:00,14.4,8.977778,438.0,85.2,0.3
2018-10-26 09:00:00,15.0,26.933333,455.0,84.3,0.3
2018-10-26 10:00:00,15.8,58.355556,460.0,82.6,0.3
2018-10-26 11:00:00,16.1,76.311111,473.0,83.5,0.3
2018-10-26 12:00:00,16.8,85.288889,482.0,83.0,0.3
2018-10-26 13:00:00,16.6,71.822222,486.0,86.1,0.3
2018-10-26 14:00:00,17.8,134.666667,480.0,82.6,0.3
2018-10-26 15:00:00,17.2,98.755556,491.0,87.1,0.3
2018-10-26 16:00:00,17.4,103.244444,496.0,87.1,0.3
2018-10-26 17:00:00,17.5,49.377778,489.0,88.2,0.3
2018-10-26 18:00:00,15.8,35.911111,424.0,89.6,0.3
2018-10-26 19:00:00,15.3,0.0,429.0,81.3,0.3
2018-10-26 20:00:00,16.2,0.0,437.0,77.8,0.3
2018-10-26 21:00:00,15.8,0.0,443.0,82.4,0.3
2018-10-26 22:00:00,14.6,0.0,446.0,85.1,0.3
2018-10-26 23:00:00,14.4,0.0,444.0,86.5,0.3
2018-10-27 00:00:00,13.7,0.0,423.0,83.8,0.3
2018-10-27 01:00:00,13.9,0.0,426.0,80.2,0.3
2018-10-27 02:00:00,15.3,0.0,448.0,75.0,0.3
2018-10-27 03:00:00,14.3,0.0,452.0,76.3,0.3
2018-10-27 04:00:00,15.2,0.0,454.0,71.2,0.3
2018-10-27 05:00:00,14.4,0.0,455.0,74.2,0.3
2018-10-27 06:00:00,15.0,0.0,464.0,72.7,0.3
2018-10-27 07:00:00,16.4,0.0,464.0,68.6,0.3
2018-10-27 08:00:00,17.0,31.422222,467.0,68.3,0.3
2018-10-27 09:00:00,16.9,98.755556,450.0,72.6,0.3
2018-10-27 10:00:00,18.8,273.822222,372.0,67.9,0.3
2018-10-27 11:00:00,20.2,417.466667,327.0,57.1,0.3
2018-10-27 12:00:00,20.4,659.866667,327.0,42.7,0.3
2018-10-27 13:00:00,20.9,381.555556,316.0,41.3,0.3
2018-10-27 14:00:00,21.3,350.133333,319.0,41.5,0.3
2018-10-27 15:00:00,20.9,547.644444,315.0,43.9,0.3
2018-10-27 16:00:00,21.1,224.444444,316.0,46.7,0.3
2018-10-27 17:00:00,18.4,107.733333,344.0,57.4,0.3
2018-10-27 18:00:00,18.0,17.955556,359.0,61.0,0.3
2018-10-27 19:00:00,17.9,0.0,370.0,62.3,0.3
2018-10-27 20:00:00,17.6,0.0,381.0,61.9,0.3
2018-10-27 21:00:00,17.3,0.0,394.0,61.8,0.3
2018-10-27 22:00:00,18.1,0.0,408.0,59.6,0.3
2018-10-27 23:00:00,16.9,0.0,417.0,64.3,0.3
2018-10-28 00:00:00,18.6,0.0,419.0,57.1,0.3
2018-10-28 01:00:00,17.3,0.0,430.0,61.3,0.3
2018-10-28 02:00:00,17.8,0.0,432.0,60.4,0.3
2018-10-28 03:00:00,17.9,0.0,435.0,61.8,0.3
2018-10-28 04:00:00,17.2,0.0,444.0,64.1,0.3
2018-10-28 05:00:00,18.2,0.0,442.0,59.4,0.3
2018-10-28 06:00:00,17.6,0.0,445.0,60.1,0.3
2018-10-28 07:00:00,18.3,0.0,451.0,56.5,0.3
2018-10-28 08:00:00,18.2,125.688889,458.0,57.3,0.3
2018-10-28 09:00:00,19.8,404.0,347.0,52.6,0.3
2018-10-28 10:00:00,21.8,700.266667,312.0,44.6,0.3
2018-10-28 11:00:00,23.0,884.311111,307.0,43.0,0.3
2018-10-28 12:00:00,24.5,866.355556,302.0,42.5,0.3
2018-10-28 13:00:00,21.7,911.244444,306.0,47.8,0.3
2018-10-28 14:00:00,24.6,700.266667,307.0,42.0,0.3
2018-10-28 15:00:00,26.8,718.222222,301.0,38.5,0.3
2018-10-28 16:00:00,22.6,296.266667,312.0,48.1,0.3
2018-10-28 17:00:00,20.9,35.911111,340.0,57.3,0.3
2018-10-28 18:00:00,20.0,0.0,356.0,63.6,0.3
2018-10-28 19:00:00,18.7,0.0,370.0,69.2,0.3
2018-10-28 20:00:00,18.4,0.0,382.0,67.9,0.3
2018-10-28 21:00:00,18.7,0.0,389.0,67.5,0.3
2018-10-28 22:00:00,18.1,0.0,403.0,71.3,0.3
2018-10-28 23:00:00,17.3,0.0,417.0,73.7,0.3
2018-10-29 00:00:00,18.6,0.0,423.0,64.9,0.3
2018-10-29 01:00:00,17.6,0.0,429.0,65.8,0.3
2018-10-29 02:00:00,17.9,0.0,440.0,62.1,0.3
2018-10-29 03:00:00,17.5,0.0,449.0,61.5,0.3
2018-10-29 04:00:00,17.3,0.0,455.0,62.2,0.3
2018-10-29 05:00:00,17.5,0.0,455.0,61.6,0.3
2018-10-29 06:00:00,18.0,0.0,465.0,59.4,0.3
2018-10-29 07:00:00,18.2,0.0,462.0,58.9,0.3
2018-10-29 08:00:00,18.4,116.711111,468.0,60.9,0.3
2018-10-29 09:00:00,20.2,377.066667,394.0,59.0,0.3
2018-10-29 10:00:00,21.1,637.422222,338.0,56.9,0.3
