Date,Measured_Cumulative_Total_Fruit_DW (g/m^2)
2019-01-17,4.55
2019-01-24,42.25
2019-02-01,148.33
2019-02-08,259.415
2019-02-15,458.315
2019-02-22,636.805
2019-02-28,908.115
2019-03-05,1136.2
2019-03-12,1306.11
2019-03-19,1466.075
2019-03-26,1719.445
2019-04-01,1958.58
2019-04-08,2240.29
2019-04-15,2587.78
2019-04-22,2855.515
2019-04-29,3178.89
2019-05-06,3411.265
2019-05-13,3757.845
2019-05-21,4094.025
2019-05-31,4227.665
2019-06-03,4521.465
2019-06-10,4795.635
2019-06-17,5047.315
2019-06-24,5300.425
2019-06-30,5525.52
